steam_addr,sh4_pc,confidence,evidence,method,steam_name,sh4_label,bank,sh4_role,score,runner_up,steam_ninsn,sh4_ninsn
0x1406092b0,0x8c04218c,medium,c:19a9(9.9) b:3cfd(9.4) c:2ab0(7.5) c:40a00000(5.8),fingerprint,FUN_1406092b0,loc_8c04218c,bank04,,32.63,runner-up: sh4 0x8c03565c(26.3) / steam 0x140609990(22.7),86,78
0x140609450,0x8c1229c0,medium,sw:53#3#0(9.9) kl:53#-6(7.9) ko:53(3.1),fingerprint+callgraph,FUN_140609450,loc_8c1229c0,bank12,,20.9,runner-up: sh4 0x8c11efa0(13.0) / steam 0x140845650(3.1),23,2
0x140609570,0x8c04257c,medium,k:38#8(9.9) kl:38#-4(7.9) c:2ab0(7.7) ko:38(3.8),fingerprint+callgraph,FUN_140609570,loc_8c04257c,bank04,,29.25,runner-up: sh4 0x8c0417e4(17.6) / steam 0x140609510(23.5),27,67
0x1406095f0,0x8c04223a,medium,c:3ca9(8.6) c:2ab0(7.5) c:40a00000(5.8),fingerprint,FUN_1406095f0,loc_8c04223a,bank04,,21.93,runner-up: sh4 0x8c03565c(16.9) / steam 0x140609570(16.1),79,55
0x1406097b0,0x8c0422fe,high,sw:437#1#2(9.9) k:437#3(9.9) kl:437#-1(7.9) kl:432#-1(7.9) r:322(5.1) ko:437(4.4) ko:432(4.2) r:81(2.7),fingerprint+callgraph,FUN_1406097b0,loc_8c0422fe,bank04,,51.86,runner-up: sh4 0x8c0d8042(14.1) / steam 0x140609ff0(20.5),31,40
0x140609820,0x8c031f50,low,kl:53#-7(7.9) r:52(4.7) ko:53(3.1),fingerprint+callgraph,FUN_140609820,loc_8c031f50,bank03,,15.7,runner-up: sh4 0x8c042b5c(12.4) / steam 0x14060c2f0(7.8),13,38
0x140609870,0x8c0418be,medium,sw:160#0#0(9.9) k:160#0(9.9) c:aa0(9.0) kl:160#-5(7.9) ko:160(4.5) ko:20(4.3),fingerprint+callgraph,FUN_140609870,loc_8c0418be,bank04,,22.7,runner-up: sh4 0x8c02e7bc(16.7) / steam 0x14061ca70(18.7),4,95
0x140609890,0x8c041b10,low,c:900a0(9.2) r:300(5.5) ko:53(3.2),fingerprint+callgraph,FUN_140609890,loc_8c041b10,bank04,,17.88,runner-up: sh4 0x8c0104c0(10.5) / steam 0x140845690(11.1),6,9
0x1406098b0,0x8c04182e,high,k:27#1(9.9) c:100a0(9.9) kl:27#-6(7.9) ko:27(4.0) ko:42(3.1),fingerprint+callgraph,FUN_1406098b0,loc_8c04182e,bank04,,34.75,runner-up: sh4 0x8c043f60(13.0) / steam 0x140609d10(15.0),11,24
0x1406098e0,0x8c041b00,low,c:800a0(9.2) r:300(5.5) ko:53(3.2),fingerprint+callgraph,FUN_1406098e0,loc_8c041b00,bank04,,17.88,runner-up: sh4 0x8c122aa0(10.5) / steam 0x1408460c0(11.1),6,8
0x140609900,0x8c04208c,low,kl:416#-6(7.9) r:322(5.0) ko:416(3.6) d:578(1.8),fingerprint+callgraph,FUN_140609900,loc_8c04208c,bank04,,18.22,runner-up: sh4 0x8c059dee(5.4) / steam 0x140097310(5.9),20,22
0x140609950,0x8c042008,medium,k:38#6(9.9) kl:38#-6(7.9) ko:102(4.0) ko:38(3.8),fingerprint+callgraph,FUN_140609950,loc_8c042008,bank04,,25.61,runner-up: sh4 0x8c034e8c(8.6) / steam 0x1406142b0(4.0),3,6
0x140609960,0x8c042014,low,kl:161#-1(7.9) kl:154#-1(7.9) r:322(4.8) ko:161(4.7) ko:154(4.7) r:81(2.6) d:190(1.9),fingerprint+callgraph,FUN_140609960,loc_8c042014,bank04,,34.65,runner-up: sh4 0x8c1294c8(29.2) / steam 0x14060a1a0(7.5),13,34
0x140609990,0x8c041f5c,medium,b:3cfd(9.8) c:2ab0(8.5) c:40a00000(5.9) r:51(5.3) r:217(4.9),fingerprint+callgraph,FUN_140609990,loc_8c041f5c,bank04,,34.35,runner-up: sh4 0x8c03565c(28.5) / steam 0x14060b440(9.8),90,86
0x140609b40,0x8c041a14,high,sw:127#1#0(9.9) k:146#2(9.9) c:10a0(9.2) kl:127#-6(7.9) ko:127(4.5) ko:90(4.4) ko:146(4.4) ko:42(3.2),fingerprint+callgraph,FUN_140609b40,loc_8c041a14,bank04,,53.28,runner-up: sh4 0x8c040248(12.3) / steam 0x140624d90(15.5),21,53
0x140609bb0,0x8c0419b6,high,k:65#0(9.9) c:10a0(8.8) kl:65#-4(7.9) ko:65(4.3),fingerprint+callgraph,FUN_140609bb0,loc_8c0419b6,bank04,,30.87,runner-up: sh4 0x8c041a14(8.8) / steam 0x140609b40(8.8),20,47
0x140609c10,0x8c04185e,high,k:27#2(9.9) c:300a0(9.9) kl:27#-5(7.9) ko:27(4.0) ko:42(3.1),fingerprint+callgraph,FUN_140609c10,loc_8c04185e,bank04,,34.75,runner-up: sh4 0x8c04508e(6.5) / steam 0x14060d100(13.0),4,20
0x140609c20,0x8c041daa,medium,c:c420000(8.6) kl:35#-17(7.9) r:52(4.7) ko:35(3.6),fingerprint+callgraph,FUN_140609c20,loc_8c041daa,bank04,,24.81,runner-up: sh4 0x8c031aac(8.6) / steam 0x140608d40(13.5),13,24
0x140609c60,0x8c04255a,medium,c:3fa9(9.5) c:2ab0(7.9) r:217(4.6),fingerprint+callgraph,FUN_140609c60,loc_8c04255a,bank04,,22.04,runner-up: sh4 0x8c03e730(18.2) / steam 0x1406090a0(12.6),27,17
0x140609ce0,0x8c041aa6,high,sw:35#14#0(9.9) sw:180#0#3(9.9) sw:133#12#0(9.9) sw:127#2#0(9.9) k:180#3(9.9) kl:35#-2(7.9) kl:180#-3(7.9) kl:127#-4(7.9),fingerprint+callgraph,FUN_140609ce0,loc_8c041aa6,bank04,,97.79,runner-up: sh4 0x8c0fc2c4(11.8) / steam 0x140609b40(12.1),10,45
0x140609d10,0x8c041a90,high,sw:73#0#1(9.9) k:73#1(9.9) k:27#3(9.9) kl:73#-2(7.9) kl:27#-4(7.9) ko:73(4.4) ko:27(4.0),fingerprint+callgraph,FUN_140609d10,loc_8c041a90,bank04,,53.83,runner-up: sh4 0x8c04182e(15.0) / steam 0x14309b1b0(4.9),14,11
0x140609df0,0x8c041dde,high,sw:35#2#6(9.9) b:3cfb(9.4) b:3ccc(8.2) kl:35#-3(7.9) ko:90(4.2) ko:35(3.6),fingerprint+callgraph,FUN_140609df0,loc_8c041dde,bank04,,43.13,runner-up: sh4 0x8c041aa6(30.6) / steam 0x140609510(21.7),18,29
0x140609e30,0x8c041e44,high,b:3ce5(11.0) b:3cfb(8.9) b:3ccc(8.0),fingerprint,FUN_140609e30,loc_8c041e44,bank04,,27.91,runner-up: sh4 0x8c0417e4(16.9) / steam 0x140609990(16.9),18,68
0x140609e80,0x8c041ecc,high,sw:180#0#2(9.9) k:180#2(9.9) kl:180#-4(7.9) kl:137#-2(7.9) ko:180(4.2) ko:137(3.6),fingerprint+callgraph,FUN_140609e80,loc_8c041ecc,bank04,,43.39,runner-up: sh4 0x8c0395ac(6.8) / steam 0x140609ce0(8.2),5,11
0x140609ea0,0x8c041d84,low,c:ccde000(9.5) r:306(5.3) r:269(4.6),fingerprint+callgraph,FUN_140609ea0,loc_8c041d84,bank04,,19.36,runner-up: sh4 0x8c041cee(9.9) / steam 0x14060d980(9.9),9,19
0x140609ed0,0x8c041d54,low,c:ccde000(9.0) r:52(4.7),fingerprint+callgraph,FUN_140609ed0,loc_8c041d54,bank04,,13.64,runner-up: sh4 0x8c041d84(9.0) / steam 0x140609ea0(9.0),13,24
0x140609f10,0x8c042538,medium,c:3ea9(9.5) c:2ab0(7.9) r:217(4.6) ko:137(3.6),fingerprint+callgraph,FUN_140609f10,loc_8c042538,bank04,,25.64,runner-up: sh4 0x8c03e730(18.2) / steam 0x140609990(12.6),27,17
0x140609f90,0x8c04234e,high,sw:443#0#0(9.9) k:443#0(9.9) c:184000(9.2) c:1018000(9.2) kl:443#-3(7.9) ko:443(4.9),fingerprint+callgraph,FUN_140609f90,loc_8c04234e,bank04,,50.88,runner-up: sh4 0x8c0424a6(18.3) / steam 0x140609ff0(18.3),27,47
0x140609ff0,0x8c0424a6,medium,c:184000(9.9) c:1018000(9.9) r:81(2.7),fingerprint+callgraph,FUN_140609ff0,loc_8c0424a6,bank04,,22.38,runner-up: sh4 0x8c0be50a(3.5) / steam 0x14067b980(9.8),31,15
0x14060a070,0x8c04242a,high,sw:304#0#0(9.9) k:304#0(9.9) kl:304#-2(7.9) ko:304(4.6) r:81(2.6),fingerprint+callgraph,FUN_14060a070,loc_8c04242a,bank04,,34.86,runner-up: sh4 0x8c0fd6b0(4.6) / steam 0x14067b980(9.5),36,44
0x14060a130,0x8c042482,high,sw:382#5#0(9.9) k:382#5(9.9) kl:382#-1(7.9) ko:382(4.9) r:81(2.6),fingerprint+callgraph,FUN_14060a130,loc_8c042482,bank04,,35.2,runner-up: sh4 0x8c0424fe(2.6) / steam 0x14067b980(9.7),7,18
0x14060a180,0x8c0423ac,medium,sw:288#2#0(9.9) k:288#2(9.9) ko:288(4.7) r:81(2.6),fingerprint+callgraph,FUN_14060a180,loc_8c0423ac,bank04,,13.55,runner-up: sh4 0x8c04e918(4.7) / steam 0x14067b980(9.5),7,46
0x14060a1f0,0x8c03589a,high,b:3cd8(11.4) b:3cd2(11.4) b:3cd4(6.9) r:55(5.9) c:10000(5.0),fingerprint+callgraph,FUN_14060a1f0,loc_8c03589a,bank03,,40.59,runner-up: sh4 0x8c0358be(23.3) / steam 0x14036f7d0(23.2),25,18
0x14060a1f0,0x8c0358be,low,inlined into FUN_14060a1f0 (covers 71% of strong tokens): b:3cd4 b:3cd8 c:10000,inlined,FUN_14060a1f0,loc_8c0358be,bank03,,0,,25,48
0x14060a270,0x8c0357d8,high,sw:35#5#0(9.9) sw:31#4#0(9.9) sw:30#5#0(9.9) sw:17#1#0(9.9) sw:133#1#0(9.9) k:30#5(9.9) k:133#1(9.9) kl:36#-6(7.9),fingerprint+callgraph,FUN_14060a270,loc_8c0357d8,bank03,,57.08,runner-up: sh4 0x8c031fa0(19.8) / steam 0x14062b6c0(13.5),460,26
0x14060b230,0x8c03580c,high,sw:35#1#4(9.9) sw:31#1#3(9.9) sw:30#1#5(9.9) k:30#6(9.9) kl:36#-5(7.9) kl:35#-11(7.9) ko:36(4.3) ko:31(3.6),fingerprint+callgraph,FUN_14060b230,loc_8c03580c,bank03,,73.87,runner-up: sh4 0x8c0357d8(28.4) / steam 0x14060a270(54.1),70,71
0x14060b550,0x8c010540,high,c:ff09(9.9) c:cf00000(9.9) c:101010(9.9) c:ce1d000(9.5) c:ce0a000(9.5) c:24000(9.5) c:1d28(8.5) c:3faaaaab(7.8),fingerprint,FUN_14060b550,loc_8c010540,bank01,,137.9,runner-up: sh4 0x8c03673e(31.3) / steam 0x14060e170(35.2),109,448
0x14060b550,0x8c041cee,low,inlined into FUN_14060b550 (covers 100% of strong tokens): c:cc00000,inlined,FUN_14060b550,loc_8c041cee,bank04,,0,,109,23
0x14060b8c0,0x8c0395c6,high,k:29#1(9.9) k:26#2(9.9) kl:29#-5(7.9) ko:26(4.4) ko:29(4.1),fingerprint+callgraph,FUN_14060b8c0,loc_8c0395c6,bank03,,36.18,runner-up: sh4 0x8c1291dc(12.3) / steam 0x14003a4c0(4.4),40,54
0x14060ba00,0x8c0395ac,low,kl:136#-2(7.9) ko:136(4.3) ko:17(3.6) ko:137(3.6) ko:42(3.2),fingerprint+callgraph,FUN_14060ba00,loc_8c0395ac,bank03,,22.65,runner-up: sh4 0x8c041588(17.4) / steam 0x14061e520(17.8),8,13
0x14060c2f0,0x8c17a25e,medium,sw:53#3#5(9.9) kl:53#-1(7.9) ko:53(3.1),fingerprint+callgraph,FUN_14060c2f0,loc_8c17a25e,bank17,,20.9,runner-up: sh4 0x8c124480(13.0) / steam 0x140844cc0(3.1),31,60
0x14060c370,0x8c032be0,confirmed,"CONFIRMED both read: bank loader. DC: switch on (r4-1) < 0x19 (25 cases, braf table at 8c032c3c), DC file addresses 0x0c420000 0x0c810000 0x0cc00000 0x0cd00000 0x0ce80000 ... in the pool; Steam FUN_14060c370: same case range (1..0x19), same DC addresses as immediates (0xc420000, 0xc810000, 0xcc00000, 0xcd00000, 0xce80000, 0xd82d000, 0xd85d000) passed to FUN_14060dcf0.",seed,FUN_14060c370,loc_8c032be0,bank03,,999.0,,657,371
0x14060c370,0x8c032364,low,inlined into FUN_14060c370 (covers 69% of strong tokens): b:3ce1 b:3d3c b:3d4c c:c420000 c:c810000 c:cc00000 c:ce60000 c:ce80000,inlined,FUN_14060c370,loc_8c032364,bank03,,0,,657,119
0x14060d080,0x8c0321dc,high,sw:8#0#15(9.9) k:8#15(9.9) kl:8#-5(7.9) ko:8(3.4),fingerprint,FUN_14060d080,loc_8c0321dc,bank03,,31.12,runner-up: sh4 0x8c03221a(3.4) / steam 0x140612430(7.6),30,31
0x14060d470,0x8c0322d4,high,sw:8#0#2(9.9) k:8#2(9.9) kl:8#-18(7.9) ko:8(3.4),fingerprint,FUN_14060d470,loc_8c0322d4,bank03,DM00 compactor,31.12,runner-up: sh4 0x8c03221a(12.9) / steam 0x14060dcf0(3.4),54,38
0x14060d560,0x8c032696,high,sw:8#0#3(9.9) k:8#3(9.9) c:d0010000(9.9) c:4000042(9.9) c:c90(8.8) b:3ce1(8.7) kl:8#-17(7.9) c:100(3.9),fingerprint,FUN_14060d560,loc_8c032696,bank03,,72.26,runner-up: sh4 0x8c032650(12.1) / steam 0x1406163e0(35.8),119,493
0x14060d770,0x8c129668,high,sw:8#0#1(9.9) k:8#1(9.9) kl:8#-19(7.9) ko:8(3.4),fingerprint,FUN_14060d770,loc_8c129668,bank12,,31.12,runner-up: sh4 0x8c032650(3.4) / steam 0x140618460(3.4),79,95
0x14060d8f0,0x8c02ded6,high,sw:8#0#6(9.9) k:8#6(9.9) kl:8#-14(7.9) ko:8(3.4),fingerprint,FUN_14060d8f0,loc_8c02ded6,bank02,,31.12,runner-up: sh4 0x8c0324d0(3.4) / steam 0x143182f60(11.6),32,25
0x14060d980,0x8c041c22,low,r:351(5.7) r:306(5.5) r:269(4.7),fingerprint+callgraph,FUN_14060d980,loc_8c041c22,bank04,,15.89,runner-up: sh4 0x8c042b5c(11.2) / steam 0x14060d100(11.8),120,102
0x14060dcf0,0x8c027366,high,sw:8#0#0(9.9) k:8#0(9.9) kl:8#-20(7.9) ko:8(3.4),fingerprint,FUN_14060dcf0,loc_8c027366,bank02,,31.12,runner-up: sh4 0x8c0324d0(3.4) / steam 0x140611e90(9.9),19,18
0x14060dd40,0x8c042d0c,low,sw:369#1#0(9.9) ko:369(4.9),fingerprint+callgraph,FUN_14060dd40,loc_8c042d0c,bank04,,14.8,runner-up: sh4 0x8c0275f6(12.0) / steam 0x140610d60(4.4),108,33
0x14060df80,0x8c032184,high,sw:8#0#17(9.9) k:8#17(9.9) kl:8#-3(7.9) ko:8(3.4),fingerprint,FUN_14060df80,loc_8c032184,bank03,,31.12,runner-up: sh4 0x8c0324d0(3.4) / steam 0x140612430(7.6),62,39
0x14060e0e0,0x8c0279a4,medium,k:31#0(9.9) kl:31#-17(7.9) ko:31(3.6),fingerprint+callgraph,FUN_14060e0e0,loc_8c0279a4,bank02,,21.4,runner-up: sh4 0x8c04257c(3.6) / steam 0x1406104d0(7.1),16,32
0x14060e170,0x8c03de54,high,b:3d3f(11.4) b:3d51(10.8) b:3d67(10.1) b:3dbc(9.8) c:7fff7f(9.5) c:7f7fff(9.5) b:3d53(9.4) b:3d3b(9.4),fingerprint,FUN_14060e170,loc_8c03de54,bank03,,289.96,runner-up: sh4 0x8c03e97c(186.7) / steam 0x14060e560(176.3),1160,764
0x14060e170,0x8c03e594,medium,inlined into FUN_14060e170 (covers 100% of strong tokens): b:3cba b:3cbb b:3cbc b:3cbd b:3cbe b:3cbf b:3cd0 b:3d3c,inlined,FUN_14060e170,loc_8c03e594,bank03,,0,,1160,41
0x14060e170,0x8c031bba,low,inlined into FUN_14060e170 (covers 100% of strong tokens): b:3cba,inlined,FUN_14060e170,loc_8c031bba,bank03,,0,,1160,52
0x14060e170,0x8c0370a4,low,inlined into FUN_14060e170 (covers 61% of strong tokens): b:3ccc b:3cd0 b:3d04,inlined,FUN_14060e170,loc_8c0370a4,bank03,,0,,1160,105
0x14060e170,0x8c038dd4,low,inlined into FUN_14060e170 (covers 65% of strong tokens): b:3ccc b:3d04,inlined,FUN_14060e170,loc_8c038dd4,bank03,,0,,1160,150
0x14060e170,0x8c03e97c,low,inlined into FUN_14060e170 (covers 83% of strong tokens): b:324e0 b:3cb9 b:3cba b:3cbb b:3cbc b:3cbd b:3cbe b:3cbf,inlined,FUN_14060e170,loc_8c03e97c,bank03,,0,,1160,201
0x14060e170,0x8c046abc,low,inlined into FUN_14060e170 (covers 100% of strong tokens): b:324e0,inlined,FUN_14060e170,loc_8c046abc,bank04,,0,,1160,7
0x14060e170,0x8c04ebb8,low,inlined into FUN_14060e170 (covers 100% of strong tokens): b:3db8,inlined,FUN_14060e170,loc_8c04ebb8,bank04,,0,,1160,22
0x14060ecd0,0x8c03dcba,medium,b:3d48(9.2) b:6d04(8.5) b:3cd1(8.4) b:3ccc(8.2) b:3db8(6.9) b:3cbc(6.8) r:41(5.7) r:8(4.4),fingerprint+callgraph,caseD_5,loc_8c03dcba,bank03,,62.07,runner-up: sh4 0x8c03e730(48.0) / steam 0x140611a20(41.2),57,147
0x14060f450,0x8c03d9a0,medium,b:3d3e(11.9) b:3d51(11.4) b:3d5c(10.8) b:3d01(9.9) b:3d41(9.8) b:3d43(9.0) b:3d39(9.0) b:3cd1(8.4),fingerprint+callgraph,caseD_0,loc_8c03d9a0,bank03,,136.32,runner-up: sh4 0x8c03c134(74.9) / steam 0x14060e560(105.4),224,353
0x14060f990,0x8c05c02e,high,sw:151#0#0(9.9) k:151#0(9.9) kl:151#-1(7.9) ko:151(4.9),fingerprint+callgraph,FUN_14060f990,loc_8c05c02e,bank05,,32.58,runner-up: sh4 0x8c03319e(14.3) / steam 0x14034fd80(7.7),17,71
0x14060fa40,0x8c1294c8,low,k:273#1(9.9) ko:62(4.6) ko:273(4.5),fingerprint+callgraph,FUN_14060fa40,loc_8c1294c8,bank12,cell processor = record->TA-list Duff-device struct COPIER (HUD poly emitter),18.92,runner-up: sh4 0x8c1021c2(14.0) / steam 0x140849bb0(14.6),35,7
0x14060fb90,0x8c0331d8,high,b:3d04(7.3) c:43f00000(7.1) c:44200000(6.9) r:10(5.0) r:13(4.6) r:12(4.6),fingerprint,FUN_14060fb90,loc_8c0331d8,bank03,,35.44,runner-up: sh4 0x8c010d26(14.0) / steam 0x14062fdc0(23.2),63,98
0x14060fcd0,0x8c0335e2,high,c:43f00000(7.4) c:42092492(5.7) r:51(5.0) c:40092492(4.5) d:180(1.6) d:70(0.9),fingerprint+callgraph,FUN_14060fcd0,loc_8c0335e2,bank03,,25.14,runner-up: sh4 0x8c0792b0(17.7) / steam 0x14060fee0(16.1),20,37
0x14060fd30,0x8c0332e0,high,c:43555555(7.4) c:43f00000(7.1) c:44200000(6.9) c:42d55555(6.5) c:42892492(6.4) c:42092492(5.7) c:40092492(4.5) c:3fd55555(4.3),fingerprint,FUN_14060fd30,loc_8c0332e0,bank03,,56.72,runner-up: sh4 0x8c03340c(31.6) / steam 0x1407e9160(33.7),58,129
0x14060fe40,0x8c03340c,high,c:43555555(7.7) c:44200000(7.1) c:42d55555(6.5) r:51(4.8) c:3fd55555(4.3) d:183(2.4) d:182(2.1) d:174(1.1),fingerprint+callgraph,FUN_14060fe40,loc_8c03340c,bank03,,36.93,runner-up: sh4 0x8c104434(14.0) / steam 0x14067baa0(15.5),35,78
0x14060ff40,0x8c0334a8,high,c:43f00000(7.4) c:42892492(6.5) c:42092492(5.7) r:51(4.8) c:40092492(4.5) d:181(2.4) d:180(1.6) d:70(0.9),fingerprint+callgraph,FUN_14060ff40,loc_8c0334a8,bank03,,33.73,runner-up: sh4 0x8c0335e2(24.8) / steam 0x14060fcd0(24.8),29,74
0x140610000,0x8c033674,high,sw:313#0#0(9.9) sw:251#0#0(9.9) k:313#0(9.9) k:251#0(9.9) kl:313#-2(7.9) kl:251#-3(7.9) c:47f42400(7.3) c:47c35000(7.2),fingerprint+callgraph,FUN_140610000,loc_8c033674,bank03,,107.65,runner-up: sh4 0x8c05b318(45.8) / steam 0x1406100f0(39.3),46,82
0x140610480,0x8c02dc32,high,b:6cbc(10.2) b:6cb8(10.2) b:6cb4(10.0),fingerprint+callgraph,FUN_140610480,loc_8c02dc32,bank02,,30.41,runner-up: sh4 0x8c02dcd6(15.2) / steam 0x1406101b0(20.4),7,13
0x1406104b0,0x8c02dc1c,high,b:6cb8(9.9) sw:35#2#1(9.9) k:65#1(9.9) b:6cb4(9.8) kl:65#-3(7.9) kl:35#-8(7.9) kl:30#-5(7.9) ko:65(4.3),fingerprint+callgraph,FUN_1406104b0,loc_8c02dc1c,bank02,,74.68,runner-up: sh4 0x8c02dc32(19.7) / steam 0x140610480(29.8),5,11
0x1406104d0,0x8c030f24,high,b:6ca4(10.4) sw:35#2#2(9.9) sw:31#1#1(9.9) sw:30#1#3(9.9) k:30#4(9.9) b:6cb0(9.7) b:6cac(9.7) b:6ca8(9.7),fingerprint+callgraph,FUN_1406104d0,loc_8c030f24,bank03,,101.11,runner-up: sh4 0x8c0357d8(39.9) / steam 0x140610730(53.7),12,16
0x140610530,0x8c030f54,high,b:6cb0(10.2) b:6cac(10.2) b:6ca8(10.2) b:324e6(8.3) c:3f000000(4.2),fingerprint+callgraph,FUN_140610530,loc_8c030f54,bank03,,43.07,runner-up: sh4 0x8c030f44(30.6) / steam 0x1406105a0(30.6),15,27
0x1406105a0,0x8c030f44,high,b:6cb0(10.5) b:6cac(10.5) b:6ca8(10.5),fingerprint+callgraph,FUN_1406105a0,loc_8c030f44,bank03,,31.57,runner-up: sh4 0x8c02dc4c(15.8) / steam 0x1406101b0(15.8),7,8
0x1406105d0,0x8c0355b2,high,b:6cd4(10.8) b:6ce0(10.5) b:6cdc(10.5) b:6cd8(10.4) b:6cd0(10.2) sw:35#2#3(9.9) k:31#14(9.9) k:27#0(9.9),fingerprint+callgraph,FUN_1406105d0,loc_8c0355b2,bank03,,116.94,runner-up: sh4 0x8c0355c2(52.4) / steam 0x140610650(52.4),15,8
0x140610630,0x8c0355a8,high,b:6cd0(10.5) sw:17#3#0(9.9) sw:133#7#0(9.9) ko:133(3.9) ko:17(3.6),fingerprint+callgraph,FUN_140610630,loc_8c0355a8,bank03,,37.84,runner-up: sh4 0x8c030df0(21.3) / steam 0x14061e520(13.5),6,5
0x140610650,0x8c0355c2,medium,b:6ce0(11.4) b:6cd4(11.4) b:6cdc(11.0) b:6cd8(11.0) b:6cd0(11.0) r:275(4.1),fingerprint+callgraph,FUN_140610650,loc_8c0355c2,bank03,,59.85,runner-up: sh4 0x8c0358be(49.3) / steam 0x140620c70(11.0),38,60
0x140610710,0x8c030e30,high,sw:35#2#4(9.9) k:31#15(9.9) c:214(8.2) kl:35#-5(7.9) kl:31#-2(7.9) kl:30#-4(7.9) ko:31(3.6) ko:35(3.6),fingerprint+callgraph,FUN_140610710,loc_8c030e30,bank03,,68.48,runner-up: sh4 0x8c02dc1c(17.0) / steam 0x1406105d0(17.1),5,5
0x140610730,0x8c030e3a,high,sw:35#2#5(9.9) k:65#3(9.9) k:31#16(9.9) k:27#4(9.9) b:6cb0(9.7) b:6cac(9.7) b:6ca8(9.7) kl:65#-1(7.9),fingerprint+callgraph,FUN_140610730,loc_8c030e3a,bank03,,135.19,runner-up: sh4 0x8c030f24(53.7) / steam 0x1406101b0(29.1),62,87
0x140610c80,0x8c035b2e,medium,b:3cd2(10.5) b:3d06(9.8) b:3d38(9.0) b:3d45(8.2) b:3cb9(8.2) b:3ccc(8.0) b:324e0(6.3) r:5(3.9),fingerprint,FUN_140610c80,loc_8c035b2e,bank03,,63.92,runner-up: sh4 0x8c010b18(34.2) / steam 0x140611a20(52.4),40,104
0x140610ea0,0x8c03619c,high,b:6910(9.4) b:690f(9.2) c:3e99999a(7.4) b:3cba(7.3) b:6908(7.2) b:3cc0(7.2) c:1e0(6.8) r:88(4.6),fingerprint+callgraph,caseD_4,loc_8c03619c,bank03,,67.5,runner-up: sh4 0x8c03e97c(33.1) / steam 0x140611a20(44.0),46,154
0x140610ea0,0x8c036142,medium,inlined into caseD_4 (covers 100% of strong tokens): b:6908 b:690f b:6910,inlined,caseD_4,loc_8c036142,bank03,,0,,46,7
0x140611480,0x8c035db0,high,c:40940000(9.9) c:177(9.2) c:15e(9.2) c:17c(9.0) b:3cc2(8.6) b:3cb9(8.2) b:3cba(7.3) b:3cc0(7.2),fingerprint+callgraph,caseD_3,loc_8c035db0,bank03,,88.08,runner-up: sh4 0x8c036338(31.3) / steam 0x140611a20(59.8),147,338
